ID,Year,Rank,Title,Artist,Source
200308,2003,8,Picture,Kid Rock featuring Sheryl Crow,https://genius.com/Kid-rock-picture-lyrics
200309,2003,9,Bring Me to Life,Evanescence featuring Paul McCoy,https://genius.com/Evanescence-bring-me-to-life-lyrics
200310,2003,10,Get Low,Lil Jon & The East Side Boyz featuring Ying Yang Twins,https://genius.com/Lil-jon-and-the-east-side-boyz-get-low-lyrics
200201,2002,1,How You Remind Me,Nickelback,https://genius.com/Nickelback-how-you-remind-me-lyrics
200202,2002,2,Foolish,Ashanti,https://genius.com/Ashanti-foolish-lyrics
200203,2002,3,Hot in Herre,Nelly,https://genius.com/Nelly-hot-in-herre-lyrics
200204,2002,4,Dilemma,Nelly featuring Kelly Rowland,https://genius.com/Nelly-dilemma-lyrics
200205,2002,5,Wherever You Will Go,The Calling,https://genius.com/The-calling-wherever-you-will-go-lyrics
200206,2002,6,A Thousand Miles,Vanessa Carlton,https://genius.com/Vanessa-carlton-a-thousand-miles-lyrics
200207,2002,7,In the End,Linkin Park,https://genius.com/Linkin-park-in-the-end-lyrics
200208,2002,8,What's Luv?,Fat Joe featuring Ashanti,https://genius.com/Fat-joe-whats-luv-lyrics
200209,2002,9,U Got It Bad,Usher,https://genius.com/Usher-u-got-it-bad-lyrics
200210,2002,10,Blurry,Puddle of Mudd,https://genius.com/Puddle-of-mudd-blurry-lyrics
200101,2001,1,Hanging by a Moment,Lifehouse,https://genius.com/Lifehouse-hanging-by-a-moment-lyrics
200102,2001,2,Fallin',Alicia Keys,https://genius.com/Alicia-keys-fallin-lyrics
200103,2001,3,All for You,Janet,https://genius.com/Janet-jackson-all-for-you-lyrics
200104,2001,4,Drops of Jupiter (Tell Me),Train,https://genius.com/Train-drops-of-jupiter-lyrics
200105,2001,5,I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule,https://genius.com/Jennifer-lopez-im-real-murder-remix-lyrics
200106,2001,6,If You're Gone,Matchbox Twenty,https://genius.com/Matchbox-twenty-if-youre-gone-lyrics
200107,2001,7,Let Me Blow Ya Mind,Eve featuring Gwen Stefani,https://genius.com/Eve-let-me-blow-ya-mind-lyrics
200108,2001,8,Thank You,Dido,https://genius.com/Dido-thank-you-lyrics
200109,2001,9,Again,Lenny Kravitz,https://genius.com/Lenny-kravitz-again-lyrics
200110,2001,10,Independent Women Part I,Destiny's Child,https://genius.com/Destinys-child-independent-women-part-1-lyrics
200001,2000,1,Breathe,Faith Hill,https://genius.com/Faith-hill-breathe-lyrics
200002,2000,2,Smooth,Santana featuring Rob Thomas,https://genius.com/Santana-smooth-lyrics
200003,2000,3,I Wanna Know,Joe,https://genius.com/Joe-i-wanna-know-lyrics
